,Titles,Actors,Year_produced,Ratings
240,The Red Shoes,"Michael Powell (dir.), Anton Walbrook, Marius Goring",(1948),8.009785074741755
241,The Terminator,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",(1984),8.009203568918085
242,Lagaan: Once Upon a Time in India,"Ashutosh Gowariker (dir.), Aamir Khan, Raghuvir Yadav",(2001),8.00883233277781
243,Butch Cassidy and the Sundance Kid,"George Roy Hill (dir.), Paul Newman, Robert Redford",(1969),8.007480525333813
244,Kis Uykusu,"Nuri Bilge Ceylan (dir.), Haluk Bilginer, Melisa Sözen",(2014),8.006862534772198
245,PK,"Rajkumar Hirani (dir.), Aamir Khan, Anushka Sharma",(2014),8.006292924087393
246,Akira,"Katsuhiro Ôtomo (dir.), Mitsuo Iwata, Nozomu Sasaki",(1988),8.006290850364714
247,Aladdin,"Ron Clements (dir.), Scott Weinger, Robin Williams",(1992),8.0062578534037
248,Fanny och Alexander,"Ingmar Bergman (dir.), Bertil Guve, Pernilla Allwin",(1982),8.00561996450243
249,Hera Pheri,"Priyadarshan (dir.), Akshay Kumar, Sunil Shetty",(2000),8.005525156983728
